,level_0,index,eMolecules ID,predicted pKas,"pKas in [3,11]","pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES,eMolecules SMILES
0,0,0,7616001,"[-2.982, 0.414, 3.454, 10.685, 13.943]","[3.454, 10.685]",2.0,False,c1cc2c(c(sc2nc1)C(=O)N)N,NC(=O)c1sc2c(c1N)cccn2
1,1,3,1570822,"[0.636, 3.95, 11.576]",[3.95],1.0,False,c1cc2cccnc2c(c1)NC(=O)c3ccc(cc3)Cl,Clc1ccc(cc1)C(=O)Nc1cccc2c1nccc2
2,2,4,44750813,"[0.435, 3.718, 6.011, 13.583]","[3.718, 6.011]",2.0,False,Cc1cnc(s1)Nc2ccccn2,Cc1cnc(s1)Nc1ccccn1
3,3,5,859659,"[-1.464, 1.397, 9.967, 14.623]",[9.967],1.0,False,c1ccc(cc1)c2cc(c(s2)N)C(=O)N,NC(=O)c1cc(sc1N)c1ccccc1
4,4,6,1155596,"[5.1, 13.807]",[5.1],1.0,False,COc1ccc(cc1)NC(=O)/C=C/c2ccccc2,COc1ccc(cc1)NC(=O)/C=C/c1ccccc1
5,5,7,4038159,"[-1.464, 0.867, 4.663, 13.619, 14.227]",[4.663],1.0,False,Cc1ccc(cc1C)c2csc(c2C(=O)N)NC(=O)CCCC(=O)O,OC(=O)CCCC(=O)Nc1scc(c1C(=O)N)c1ccc(c(c1)C)C
6,6,9,2259473,"[-0.417, -0.375, 6.525]",[6.525],1.0,False,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Cl,Fc1cccc(c1)CSc1nnc(s1)NC(=O)c1ccccc1Cl
7,7,10,6766101,"[-0.417, -0.375, 7.202]",[7.202],1.0,False,c1ccc(cc1)CSc2nnc(s2)NC(=O)c3ccc(cc3)F,Fc1ccc(cc1)C(=O)Nc1nnc(s1)SCc1ccccc1
8,8,11,4541974,"[-2.469, 1.009, 2.508, 10.208, 15.706]",[10.208],1.0,False,Cn1c2c(c(=O)[nH]c1=O)n3cc(n(c3n2)CCCCO)c4ccccc4,OCCCCn1c(cn2c1nc1c2c(=O)[nH]c(=O)n1C)c1ccccc1
9,9,12,31653344,"[0.278, 6.348, 15.31]",[6.348],1.0,False,c1ccc(cc1)n2cnc3c2ccc(c3)N,Nc1ccc2c(c1)ncn2c1ccccc1
10,10,13,5784088,"[2.1, 4.394, 13.772]",[4.394],1.0,False,c1cc(ccc1c2nnc3n2nc(cc3)NC4CC4)C(F)(F)F,FC(c1ccc(cc1)c1nnc2n1nc(cc2)NC1CC1)(F)F
