,index,eMolecules ID,predicted pKas,"pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES,eMolecules SMILES,"pKa count in [4,10]","pKas in [4,10]"
27,41,5758581,"[0.739, 4.15]",1.0,False,Cc1ccc(cn1)c2c(cc(cn2)Cl)c3ccc(cc3)S(=O)(=O)C,Clc1cnc(c(c1)c1ccc(cc1)S(=O)(=O)C)c1ccc(nc1)C,1.0,[4.15]
28,42,13419113,"[0.665, 0.829, 8.398, 12.248, 13.452]",1.0,False,c1ccc(cc1)NC(=O)c2c3ccccc3[nH]n2,O=C(c1n[nH]c2c1cccc2)Nc1ccccc1,1.0,[8.398]
29,43,3374919,"[5.124, 13.404]",1.0,False,c1ccc(cc1)Oc2ccc(cc2)C(=O)NCc3ccncc3,O=C(c1ccc(cc1)Oc1ccccc1)NCc1ccncc1,1.0,[5.124]
30,46,1415762,"[0.942, 4.294, 13.146, 16.055]",1.0,False,c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)NCCO,OCCNc1ncnc2c1c(c1ccccc1)c(o2)c1ccccc1,1.0,[4.294]
31,47,1990422,"[4.245, 13.271]",1.0,False,COc1ccc(cc1)c2c3c(ncnc3oc2c4ccc(cc4)OC)N,COc1ccc(cc1)c1oc2c(c1c1ccc(cc1)OC)c(N)ncn2,1.0,[4.245]
32,48,46518204,[8.05],1.0,False,COc1cccc(c1)/C=C\2/C(=O)NC(=O)S2,COc1cccc(c1)/C=C/1\SC(=O)NC1=O,1.0,[8.05]
33,49,4424334,"[-1.75, -1.015, 5.578, 13.511, 14.077]",1.0,False,c1ccc2c(c1)c(nnc2Nc3ccc(c(c3)Cl)Cl)c4ccc(cc4)C(=O)N,NC(=O)c1ccc(cc1)c1nnc(c2c1cccc2)Nc1ccc(c(c1)Cl)Cl,1.0,[5.578]
34,50,718480,"[-2.751, 0.13, 4.538, 12.854]",1.0,False,c1cc(c(cc1NC(=O)c2cc(cc(c2O)Cl)Cl)Cl)Cl,Clc1cc(Cl)c(c(c1)C(=O)Nc1ccc(c(c1)Cl)Cl)O,1.0,[4.538]
35,51,17664146,"[1.012, 1.494, 7.773, 14.1]",1.0,False,CN1CCN(CC1)c2c(cccc2Cl)NC(=O)c3ccc(o3)Br,CN1CCN(CC1)c1c(cccc1Cl)NC(=O)c1ccc(o1)Br,1.0,[7.773]
36,52,6458515,"[0.122, 0.934, 9.839]",1.0,False,Cc1cccc(c1)Cc2cnc(s2)NC(=O)c3cccs3,Cc1cccc(c1)Cc1cnc(s1)NC(=O)c1cccs1,1.0,[9.839]
37,56,35679514,"[-0.417, -0.375, 6.888]",1.0,False,c1cc(ccc1CSc2nnc(s2)NC(=O)c3ccc(cc3)Cl)F,Fc1ccc(cc1)CSc1nnc(s1)NC(=O)c1ccc(cc1)Cl,1.0,[6.888]
38,57,25876127,[8.073],1.0,False,c1cc(cc(c1)C(F)(F)F)/C=C/2\C(=O)NC(=O)S2,O=C1NC(=O)/C(=C\c2cccc(c2)C(F)(F)F)/S1,1.0,[8.073]
