,eMolecules SKU,predicted pKas,"pKas in [3,11]","pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES
0,163665408,"[4.26, 9.011, 10.57]","[4.26, 9.011, 10.57]",3.0,False,c1cc2cnccc2c(c1)S(=O)(=O)NCCN
1,165993474,"[-1.464, -0.046, 0.131, 12.261, 14.553]",[],0.0,False,Cc1cccc(c1)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N
2,152525483,[1.373],[],0.0,False,c1ccc(cc1)c2cn(c3c2c(ncn3)Cl)c4ccccc4
3,154857476,"[0.389, 2.722, 14.094, 15.127]",[],0.0,False,CC(=O)Nc1cccc(c1)c2csc(n2)Nc3ccc(cc3)OC
4,146728965,"[0.151, 2.037, 9.167]",[9.167],1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)F
5,127366151,"[-0.063, 0.786, 2.041]",[],0.0,False,Cc1nnc(s1)Sc2c3ccsc3ncn2
6,146079752,"[-2.01, 8.499]",[8.499],1.0,False,CCOC(=O)c1c(c2cc(ccc2[nH]c1=O)Br)c3ccccc3
7,166007818,"[6.179, 6.781]","[6.179, 6.781]",2.0,True,c1c(cc(c(c1Sc2cc(cc(c2O)Br)Cl)O)Br)Cl
8,103513099,"[-1.797, 4.637, 12.61]",[4.637],1.0,False,c1ccc2c(c1)[nH]c(n2)c3cc4cc(ccc4oc3=O)Br
9,165878797,"[0.395, 13.607]",[],0.0,False,c1ccc(cc1)c2cn3c4c2CCCCn4c(n3)CNc5ccccc5I
10,151674895,"[0.096, 1.834]",[],0.0,False,Cc1ccc(cc1)c2csc(n2)c3ccnc(c3)Cl
11,140616722,"[-0.417, -0.375, 6.546]",[6.546],1.0,False,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Br
12,165966339,"[-0.118, 1.208, 7.548, 14.826]",[7.548],1.0,False,COc1ccc(cc1Cl)NC(=S)NC(=O)Cc2ccccc2
13,189730836,"[-0.077, 2.34, 16.154]",[],0.0,False,Cc1cc2c([nH]1)ccc(c2F)OCc3ncnn3C
14,171928238,[-0.609],[],0.0,False,Cn1cc(c(=O)n(c1=O)Cc2ccccc2)I
15,166208535,[8.112],[8.112],1.0,False,c1c(c(cc2c1OCO2)Cl)/C=C\3/C(=O)NC(=O)S3
16,138033176,"[2.144, 2.748]",[],0.0,False,c1cc(ccc1c2cc3c(s2)c(ncn3)SCC(=O)O)Br
17,150923289,"[-0.417, -0.375, 6.888]",[6.888],1.0,False,c1cc(ccc1CSc2nnc(s2)NC(=O)c3ccc(cc3)Cl)F
