,eMolecules SKU,predicted pKas,"pKas in [3,11]","pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES
41,113364668,"[-1.289, 9.026, 12.783]",[9.026],1.0,False,CCN(CC)CCNC(=O)c1ccc2c(c1)nc(c(n2)c3ccccc3)c4ccccc4
42,103866476,"[1.152, 4.231, 11.29, 11.964, 13.613]",[4.231],1.0,False,COc1cc(cc(c1)OC)Nc2c3c([nH]cn3)nc(n2)N
43,151061613,"[-0.05, 3.58]",[3.58],1.0,False,COc1ccc(cc1)c2c(sc(n2)N3CCOCC3)c4ccc(cc4)OC
44,167136368,"[1.04, 4.06, 12.042]",[4.06],1.0,False,Cn1c2ccccc2nc1c3c(non3)N
45,140622184,"[-0.417, -0.375, 6.881]",[6.881],1.0,False,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3ccc(cc3)F)F
46,129138802,"[-1.287, 8.416, 10.823]","[8.416, 10.823]",2.0,False,c1ccc(cc1)c2cc(=O)c3c(cc(cc3o2)O)O
47,103784979,"[-1.696, 5.321, 10.227]","[5.321, 10.227]",2.0,False,Cn1c2c(c(=O)[nH]c1=O)n3cc(n(c3n2)c4ccccc4OC)c5ccccc5
48,103596155,"[-2.982, -0.042, 3.289, 10.555, 13.872]","[3.289, 10.555]",2.0,False,c1ccc(cc1)c2cc(c3c(c(sc3n2)C(=O)N)N)c4ccco4
49,167076988,"[1.605, 2.72, 6.43, 12.418]",[6.43],1.0,False,CCOC(=O)CNc1c2nncn2c3cc(ccc3n1)C
50,138394750,"[0.564, 3.18, 14.511]",[3.18],1.0,False,c1cc(ccc1Nc2nccc(n2)C(F)(F)F)N3CCOCC3
51,103888003,"[3.426, 8.127, 13.82]","[3.426, 8.127]",2.0,False,c1ccc(cc1)CN2CCc3c(sc4c3c(ncn4)N)C2
52,103536774,"[4.35, 5.87, 13.131]","[4.35, 5.87]",2.0,False,CCCCOc1nccc(n1)Nc2ccccc2C(=O)O
53,103846025,"[2.275, 5.979]",[5.979],1.0,False,CCc1nnc2n1nc(s2)S
54,167022730,[8.05],[8.05],1.0,False,c1cc(cc(c1)OCc2ccc(cc2Cl)Cl)/C=C/3\C(=O)NC(=O)S3
55,163714187,"[3.855, 14.607]",[3.855],1.0,False,COc1cc(cnc1N)Cl
56,163666062,"[-2.89, 9.606, 13.041]",[9.606],1.0,False,Cc1c(c2ccccc2n1CC(=O)N)CCN
57,166510736,"[7.096, 13.838, 15.008]",[7.096],1.0,False,COc1ccc(cc1OC)Cc2cnc(nc2N)N
58,163730577,"[8.143, 9.843]","[8.143, 9.843]",2.0,False,c1ccc2c(c1)c(ccn2)N3CCNCC3
59,166291603,[8.369],[8.369],1.0,False,CCN(CC)CCOc1ccc(cc1)/C(=C(\c2ccccc2)/Cl)/c3ccccc3
60,103786647,"[3.523, 7.492, 13.321]","[3.523, 7.492]",2.0,False,c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)NCCN5CCOCC5
61,103521433,"[-2.982, 2.203, 3.845, 10.793, 14.053]","[3.845, 10.793]",2.0,False,c1ccc(cc1)c2c3c(c4c(c(sc4n2)C(=O)N)N)CCCC3
62,103538843,"[0.986, 9.366]",[9.366],1.0,False,CCCCCCCCc1cnc(nc1)c2ccc(cc2)O
63,163715228,"[3.023, 12.789]",[3.023],1.0,False,Cc1ccc(c(c1)C(=O)O)O
64,150986266,"[-1.872, 4.056, 6.563, 11.16]","[4.056, 6.563]",2.0,False,CN1CCN(CC1)S(=O)(=O)c2cccc(c2)C(=O)Nc3cccnc3
65,103517342,"[0.821, 4.1, 13.865]",[4.1],1.0,False,Cc1c(c2c3c(c(ncn3)N)sc2nc1C)C
66,163716805,"[3.49, 12.669]",[3.49],1.0,False,c1ccc2c(c1)nc(nn2)N
67,155110561,"[4.05, 12.87]",[4.05],1.0,False,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)I
68,172319909,"[0.077, 1.259, 7.402]",[7.402],1.0,False,Cc1c(oc(n1)C)c2csc(n2)c3cnc4n3cccc4
69,177191623,"[-1.164, 1.852, 9.012, 13.305, 14.09, 14.55]",[9.012],1.0,False,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)F)C
70,112308400,"[3.252, 4.873, 9.597, 14.36, 16.037]","[3.252, 4.873, 9.597]",3.0,False,c1[nH]c2c(=O)[nH]c(nc2n1)NCC(=O)O
71,103570609,"[0.15, 2.037, 9.167]",[9.167],1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)OC
72,177506692,"[0.195, 2.183, 4.314]",[4.314],1.0,False,COc1cc(cnc1)c2ccc(cc2)C(=O)N(Cc3nccs3)C4CC4
73,151825588,"[-1.102, 2.127, 8.473, 14.249]",[8.473],1.0,False,c1cc(c(nc1)NC(=O)c2ccc(cc2)OCC3CC3)O
74,166644918,"[-2.46, 2.039, 6.253, 9.264, 14.293, 15.32]","[6.253, 9.264]",2.0,False,c1cc(oc1)/C=N/c2c(nc(nc2O)N)N
75,113026965,"[3.158, 9.32, 13.733]","[3.158, 9.32]",2.0,False,c1ccc2c(c1)/C(=C/c3cccc(c3)O)/C(=O)N2
76,103613625,"[-1.75, -0.258, 5.171, 9.84, 14.039, 14.968]","[5.171, 9.84]",2.0,False,c1ccc2c(c1)c(nnc2Nc3ccc(cc3)C(=O)N)c4ccc(cc4)O
