,canonical isomeric SMILES,eMolecules ID,XlogP
0,COc1cc2c(cc1OCCCN3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,876432,2.7179996967315674
1,COc1ccc(cc1)c2c3c(ncnc3oc2c4ccc(cc4)OC)NCCO,1415746,2.7940003871917725
2,COc1cc(cc(c1O)I)/C=C/2\C(=O)NC(=O)S2,45945887,2.75600004196167
3,CCOC(=O)c1ccc(cc1)Nc2cc(nc(n2)Nc3ccc(cc3)C(=O)OCC)C,4375254,2.9370000362396236
4,c1ccc(c(c1)CC(=O)OCC(=O)O)Nc2c(cccc2Cl)Cl,901322,2.9590001106262207
5,CN1CCN(CC1)c2c(cccc2Cl)NC(=O)c3ccc(o3)Br,17664146,3.1090002059936523
6,CCOc1ccc(cc1)Nc2c(cnc(n2)Nc3ccc(cc3)OCC)F,1267281,3.051999807357788
7,c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)NCCN5CCOCC5,2010194,3.253999948501587
8,Cc1ccc(cn1)c2c(cc(cn2)Cl)c3ccc(cc3)S(=O)(=O)C,5758581,3.205999851226806
9,c1cc2c(cc(c(c2nc1)O)I)I,536848,3.370999813079834
10,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)Nc3ncc(s3)Cc4ccc(c(c4)F)F,18897105,3.3410000801086426
11,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,901601,3.4699997901916504
12,c1cc(cc(c1)Br)Nc2c(cnc(n2)Nc3cccc(c3)Br)F,1574612,4.140000343322754
13,c1ccc2c(c1)c(nnc2Nc3ccc(c(c3)Cl)Cl)c4ccc(cc4)C(=O)N,4424334,4.270000457763672
14,c1ccc(c(c1)c2c(=O)[nH]c3ccccc3n2)NC(=O)c4ccc(cc4)F,3513384,4.201000213623047
15,c1cc(cc(c1)C(F)(F)F)Cc2cnc(s2)NC(=O)c3cccs3,1406839,4.526000499725342
16,c1ccc(cc1)C(=O)Nc2ccc(cc2)Oc3c4c5c(sc4ncn3)CCCC5,3064762,4.7179999351501465
17,Cc1ccc2c(c1)sc(n2)NC(=O)Cc3csc(n3)NC(=O)Nc4cccc(c4)Cl,5551808,4.809000015258789
18,COc1ccccc1CC(=O)Nc2nc3ccc(cc3s2)OC(F)(F)F,17211030,4.9430012702941895
19,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(c(c3)Cl)Cl,3365457,5.171000480651856
20,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3ccc(cc3)F)Cl,3044617,5.237000465393066
21,c1cc(ccc1CSc2nnc(s2)NC(=O)c3ccc(cc3)F)Br,5428734,5.418999671936035
22,CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)Cl.Cl,492822,5.49600076675415
23,CCOc1ccc2c(c1)sc(n2)NC(=O)C(c3ccccc3)c4ccccc4,2382204,5.654000282287598
24,CC(C)(C)c1cc(n(n1)c2ccccc2)NC(=O)Nc3cccc(c3Cl)Cl,10794751,5.7840003967285165
