eMolecules_Order_Number,NAME,PO_Number,ORIG_ROWNUM,MATCH_TYPE,MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,SHIPPED_AMOUNT,SHIPPED_UNITS,BARCODE,PLATE_BARCODE,LOCATION,Text 1,EMOLECULES_ID
350029254,Mehtap Isik,,1,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,2,exact,269.73,Clc1ccc(cc1)CNc1ncnc2c1cccc2,,,,mg,,,,,30719859
350029254,Mehtap Isik,,3,exact,253.3,COc1ccccc1NC(=O)/C=C/c1ccccc1,,,,mg,,,,,1852896
350029254,Mehtap Isik,,4,exact,298.34,n1ccc(cc1)Nc1nc(nc2c1cccc2)c1ccccc1,,,,mg,,,,,49856653
350029254,Mehtap Isik,,5,exact,240.26,Oc1ccc(cc1)NCn1nnc2c1cccc2,,,,mg,,,,,2334168
350029254,Mehtap Isik,,6,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,7,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,8,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,9,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,10,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,11,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,12,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,13,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,14,exact,347.37,COc1ccc(cc1)c1oc2c(c1c1ccc(cc1)OC)c(N)ncn2,,,,mg,,,,,1990422
350029254,Mehtap Isik,,15,exact,342.41,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1cccc(c1)OC,,,,mg,,,,,3590441
350029254,Mehtap Isik,,16,exact,396.95,Ic1cc(I)c2c(c1O)nccc2,,,,mg,,,,,536848
350029254,Mehtap Isik,,17,exact,234.3,Cc1cc2ncc(nc2cc1C)c1ccccc1,,,,mg,,,,,594835
350029254,Mehtap Isik,,18,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,19,exact,314.4,Cc1cccc(c1)C(=O)Nc1sc2c(c1C(=O)N)CCCC2,,,,mg,,,,,1278243
350029254,Mehtap Isik,,20,exact,418.29,Brc1ccc(cc1)NC(=O)c1cn(nc1c1ccccc1)c1ccccc1,,,,mg,,,,,2401109
350029254,Mehtap Isik,,21,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,22,exact,221.26,c1ccc(cc1)Nc1ncnc2c1cccc2,,,,mg,,,,,1327893
350029254,Mehtap Isik,,23,exact,229.21,Fc1ccc(cc1)Nc1ncnc2c1nc[nH]2,,,,mg,,,,,4934115
350029254,Mehtap Isik,,24,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,25,exact,343.44,c1ccc(cc1)c1csc2c1c(ncn2)N1CCc2c(C1)cccc2,,,,mg,,,,,688047
350029254,Mehtap Isik,,26,exact,293.32,OC(=O)Cc1c(=O)[nH]c2c(c1c1ccccc1)cc(cc2)C,,,,mg,,,,,1367649
350029254,Mehtap Isik,,27,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,28,exact,287.32,O=C1Nc2c(/C/1=C/c1c[nH]nc1c1ccccc1)cccc2,,,,mg,,,,,26484953
350029254,Mehtap Isik,,29,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,30,exact,469.66,O=C(c1ccc(cc1)C(C)(C)C)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1,,,,mg,,,,,901816
350029254,Mehtap Isik,,31,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,32,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,33,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,34,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,35,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,36,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,37,exact,340.18,Clc1c(cccc1Cl)c1ccc(o1)/C=C\1/SC(=O)NC1=O,,,,mg,,,,,25775213
350029254,Mehtap Isik,,38,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,39,exact,350.19,O=C1S/C(=C/c2ccc(o2)c2ccc(cc2)Br)/C(=O)N1,,,,mg,,,,,25775227
350029254,Mehtap Isik,,40,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,41,exact,309.36,COc1cc2c(ncnc2cc1OC)Nc1ccc(cc1C)C,,,,mg,,,,,4862451
350029254,Mehtap Isik,,42,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,43,exact,300.26,COc1c(O)cc2c(c1O)c(=O)c(co2)c1ccc(cc1)O,,,,mg,,,,,5757342
350029254,Mehtap Isik,,44,exact,246.28,O=C(c1ccccc1)Nc1sccc1C(=O)N,,,,mg,,,,,2266007
350029254,Mehtap Isik,,45,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,46,exact,219.31,Nc1ncnc2c1c1CCCCCc1s2,,,,mg,,,,,1339083
350029254,Mehtap Isik,,47,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,48,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,49,exact,252.33,CCC(=O)Nc1sc2c(c1C(=O)N)CCCC2,,,,mg,,,,,1289161
350029254,Mehtap Isik,,50,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,51,isomeric,416.13,Clc1ccc(c(c1)Cl)COC(c1ccc(cc1Cl)Cl)Cn1cncc1,,,,mg,,,,,902133
350029254,Mehtap Isik,,52,exact,237.26,NC(=O)c1ccc2c(c1)nc([nH]2)c1ccccc1,,,,mg,,,,,37053191
350029254,Mehtap Isik,,53,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,54,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,55,exact,318.39,O=C(c1cccs1)Nc1ncc(s1)Cc1ccccc1F,,,,mg,,,,,2483403
350029254,Mehtap Isik,,56,exact,379.86,Fc1cccc(c1)CSc1nnc(s1)NC(=O)c1ccccc1Cl,,,,mg,,,,,2259473
350029254,Mehtap Isik,,57,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,58,exact,297.31,COc1cc2c(ncnc2cc1OC)Nc1cccc(c1)O,,,,mg,,,,,32232846
350029254,Mehtap Isik,,59,exact,130.15,c1ccc2c(c1)ncnc2,,,,mg,,,,,479644
350029254,Mehtap Isik,,60,exact,380.46,O=C(c1ccc(cc1)S(=O)(=O)Nc1ccccc1)N(Cc1ccccc1)C,,,,mg,,,,,76003299
350029254,Mehtap Isik,,61,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,62,exact,301.36,O=C(c1ccncc1)Nc1sc2c(c1C(=O)N)CCCC2,,,,mg,,,,,1335659
350029254,Mehtap Isik,,63,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,64,isomeric,311.33,COc1cc(OC)cc(c1/C=C\1/C(=O)Nc2c1cccc2)OC,,,,mg,,,,,23031422
350029254,Mehtap Isik,,65,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,66,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,67,exact,391.42,OCCNc1ncnc2c1c(c1ccc(cc1)OC)c(o2)c1ccc(cc1)OC,,,,mg,,,,,1415746
350029254,Mehtap Isik,,68,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,69,exact,350.2,COc1cc2c(ncnc2cc1OC)Nc1ccc(cc1Cl)Cl,,,,mg,,,,,4862465
350029254,Mehtap Isik,,70,exact,304.34,CCNc1c(=O)n(C)c2c3c1c1ccccc1c(=O)c3ccc2,,,,mg,,,,,5497209
350029254,Mehtap Isik,,71,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,72,exact,395.88,CN1CCN(CC1)c1ccc(cc1)NC(=O)c1ccc(o1)c1ccc(cc1)Cl,,,,mg,,,,,1750984
350029254,Mehtap Isik,,73,exact,318.33,Oc1cccc(c1)Oc1ncnc2c1cc([nH]2)c1cccc(c1)N,,,,mg,,,,,11326021
350029254,Mehtap Isik,,74,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,75,exact,215.21,Cn1c(nc2c1cccc2)c1nonc1N,,,,mg,,,,,1400224
350029254,Mehtap Isik,,76,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,77,exact,312.39,COc1ccccc1CC(=O)Nc1nc2c(s1)cc(cc2)C,,,,mg,,,,,1412934
350029254,Mehtap Isik,,78,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,79,exact,335.47,C1CCC(CC1)/N=c/1\nc(n(s1)c1ccccc1)c1ccccc1,,,,mg,,,,,46344575
350029254,Mehtap Isik,,80,exact,346.83,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(cc1)Cl,,,,mg,,,,,1782302
350029254,Mehtap Isik,,81,exact,300.4,O=C(c1cccs1)Nc1ncc(s1)Cc1ccccc1,,,,mg,,,,,1303385
350029254,Mehtap Isik,,82,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,83,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,84,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,85,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,86,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,87,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,88,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,89,exact,339.39,O=C(c1cn(nc1c1ccccc1)c1ccccc1)Nc1ccccc1,,,,mg,,,,,14371658
350029254,Mehtap Isik,,90,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,91,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,92,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,93,exact,278.67,Nc1nc(Nc2ccc(c(c2)Cl)F)c2c(n1)[nH]cn2,,,,mg,,,,,13586950
350029254,Mehtap Isik,,94,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,95,exact,401.48,O=C(c1scnc1CCc1ccncc1)Nc1ccc(cc1)Oc1ccccc1,,,,mg,,,,,44160569
350029254,Mehtap Isik,,96,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,97,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,98,exact,319.4,O=C(c1c[nH]c2c1cccc2)N1CCN(CC1)Cc1ccccc1,,,,mg,,,,,36798830
350029254,Mehtap Isik,,99,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,100,exact,330.4,Cc1ccc(o1)/C=C/C(=O)Nc1sc2c(c1C(=O)N)CCCC2,,,,mg,,,,,25901441
350029254,Mehtap Isik,,101,exact,368.49,O=C(Nc1sc2c(c1C(=O)N)CCCC2)/C=C/c1ccc(cc1)C(C)C,,,,mg,,,,,662777
350029254,Mehtap Isik,,102,exact,340.18,O=C1S/C(=C/c2ccc(o2)c2ccc(cc2Cl)Cl)/C(=O)N1,,,,mg,,,,,25775229
350029254,Mehtap Isik,,103,exact,282.36,CSc1cccc(c1)N/C=C/1\C(=O)Nc2c1cccc2,,,,mg,,,,,2366470
350029254,Mehtap Isik,,104,exact,487.55,COc1cc2c(cc1OC)ncn2c1cc(c(s1)C(=O)N)OCc1ccc(cc1)S(=O)(=O)C,,,,mg,,,,,17720583
350029254,Mehtap Isik,,105,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,106,not found,0,,,,,mg,,,,,
350029254,Mehtap Isik,,107,exact,221.28,Cc1cc(C)c2c(n1)sc(c2N)C(=O)N,,,,mg,,,,,827004
