eMolecules_Order_Number,NAME,PO_Number,ORIG_ROWNUM,MATCH_TYPE,MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,SHIPPED_AMOUNT,SHIPPED_UNITS,BARCODE,PLATE_BARCODE,LOCATION,Text 1,EMOLECULES_ID
350033304,Mehtap Isik,,1,exact,237.26,c1ccc(cc1)Nc1nnc(o1)c1ccccc1,,,,mg,,,,,37308
350033304,Mehtap Isik,,2,exact,270.24,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,,,,mg,,,,,478202
350033304,Mehtap Isik,,3,exact,130.15,c1ccc2c(c1)ncnc2,,,,mg,,,,,479644
350033304,Mehtap Isik,,4,exact,76.12,NC(=S)N,,,,mg,,,,,484431
350033304,Mehtap Isik,,5,exact,234.2,COc1ccc2c(c1)oc(=O)cc2CC(=O)O,,,,mg,,,,,490595
350033304,Mehtap Isik,,6,exact,128.15,OC(=O)c1cscc1,,,,mg,,,,,491595
350033304,Mehtap Isik,,7,exact,254.24,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1,,,,mg,,,,,493608
350033304,Mehtap Isik,,8,exact,406.9,Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl,,,,mg,,,,,496659
350033304,Mehtap Isik,,9,exact,220.18,OC(=O)Cc1cc(=O)oc2c1ccc(c2)O,,,,mg,,,,,498764
350033304,Mehtap Isik,,10,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,11,exact,147.17,O=C1CCc2c(N1)cccc2,,,,mg,,,,,506221
350033304,Mehtap Isik,,12,exact,261.07,COc1cc(C(=O)O)c(cc1OC)Br,,,,mg,,,,,508324
350033304,Mehtap Isik,,13,exact,356.05,Clc1cc(Sc2cc(Cl)cc(c2O)Cl)c(c(c1)Cl)O,,,,mg,,,,,510833
350033304,Mehtap Isik,,14,exact,286.24,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,,,,mg,,,,,524531
350033304,Mehtap Isik,,15,exact,270.24,Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O,,,,mg,,,,,532754
350033304,Mehtap Isik,,16,exact,372.41,COc1cc(ccc1OC)C[C@H]1COC(=O)[C@@H]1Cc1ccc(c(c1)OC)O,,,,mg,,,,,533902
350033304,Mehtap Isik,,17,exact,458.57,COc1ccc(cc1)CCN1CCC(CC1)Nc1nc2c(n1Cc1ccc(cc1)F)cccc2,,,,mg,,,,,534476
350033304,Mehtap Isik,,18,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,19,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,20,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,21,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,22,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,23,exact,396.95,Ic1cc(I)c2c(c1O)nccc2,,,,mg,,,,,536848
350033304,Mehtap Isik,,24,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,25,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,26,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,27,exact,336.29,O=c1oc2ccccc2c(c1Cc1c(=O)oc2c(c1O)cccc2)O,,,,mg,,,,,591595
350033304,Mehtap Isik,,28,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,29,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,30,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,31,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,32,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,33,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,34,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,35,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,36,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,37,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,38,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,39,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,40,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,41,exact,234.3,Cc1cc2ncc(nc2cc1C)c1ccccc1,,,,mg,,,,,594835
350033304,Mehtap Isik,,42,exact,315.75,COc1cc2c(ncnc2cc1OC)Nc1cccc(c1)Cl,,,,mg,,,,,594850
350033304,Mehtap Isik,,43,exact,263.27,COC(=O)c1ccc(cc1)/C=C/1\SC(=O)NC1=O,,,,mg,,,,,620265
350033304,Mehtap Isik,,44,exact,449.92,Brc1ccc(cc1)NC(=O)c1cc(Br)cc(c1O)Br,,,,mg,,,,,629390
350033304,Mehtap Isik,,45,exact,212.25,O=C(c1ccccc1C)Nc1ccncc1,,,,mg,,,,,631998
350033304,Mehtap Isik,,46,exact,356.48,O=C(c1ccc(cc1)C(C)(C)C)Nc1sc2c(c1C(=O)N)CCCC2,,,,mg,,,,,639114
350033304,Mehtap Isik,,47,exact,326.41,O=C(Nc1sc2c(c1C(=O)N)CCCC2)/C=C/c1ccccc1,,,,mg,,,,,640814
350033304,Mehtap Isik,,48,exact,386.46,COc1cc(/C=C/C(=O)Nc2sc3c(c2C(=O)N)CCCC3)ccc1OC,,,,mg,,,,,642134
350033304,Mehtap Isik,,49,exact,267.11,Clc1ccc(c(c1)Cl)C(=O)Nc1ccncc1,,,,mg,,,,,647498
350033304,Mehtap Isik,,50,exact,356.44,COc1ccc(cc1)/C=C/C(=O)Nc1sc2c(c1C(=O)N)CCCC2,,,,mg,,,,,649412
350033304,Mehtap Isik,,51,exact,368.49,O=C(Nc1sc2c(c1C(=O)N)CCCC2)/C=C/c1ccc(cc1)C(C)C,,,,mg,,,,,662777
350033304,Mehtap Isik,,52,exact,232.67,O=C(c1ccccc1Cl)Nc1ccncc1,,,,mg,,,,,677420
350033304,Mehtap Isik,,53,exact,321.37,Fc1ccc(cc1)Nc1ncnc2c1cc(s2)c1ccccc1,,,,mg,,,,,684258
350033304,Mehtap Isik,,54,exact,343.44,c1ccc(cc1)c1csc2c1c(ncn2)N1CCc2c(C1)cccc2,,,,mg,,,,,688047
350033304,Mehtap Isik,,55,exact,321.37,Fc1ccc(cc1)Nc1ncnc2c1c(cs2)c1ccccc1,,,,mg,,,,,688294
350033304,Mehtap Isik,,56,exact,327.76,CCOC(=O)c1c(=O)[nH]c2c(c1c1ccccc1)cc(cc2)Cl,,,,mg,,,,,703997
350033304,Mehtap Isik,,57,salt/solvate,448.41,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(=O)(O)O.CCN(CC)CC,,,,mg,,,,,49241821
350033304,Mehtap Isik,,58,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,59,exact,351.01,Clc1cc(Cl)c(c(c1)C(=O)Nc1ccc(c(c1)Cl)Cl)O,,,,mg,,,,,718480
350033304,Mehtap Isik,,60,exact,211.22,Nc1ncnc2c1cnn2c1ccccc1,,,,mg,,,,,719540
350033304,Mehtap Isik,,61,exact,241.04,Brc1ccc2c(c1)cc(o2)C(=O)O,,,,mg,,,,,724767
350033304,Mehtap Isik,,62,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,63,exact,318.86,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,,,,mg,,,,,730270
350033304,Mehtap Isik,,64,exact,437.52,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,,,,mg,,,,,732810
350033304,Mehtap Isik,,65,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,66,exact,179.24,Cc1sc2c(c1C)c(N)ncn2,,,,mg,,,,,738783
350033304,Mehtap Isik,,67,exact,313.27,Cn1nc(nc2c1nc(=O)n(c2=O)C)c1ccc2c(c1)OCO2,,,,mg,,,,,742162
350033304,Mehtap Isik,,68,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,69,exact,269.32,NC(=O)c1sc2c(c1N)ccc(n2)c1ccccc1,,,,mg,,,,,824388
350033304,Mehtap Isik,,70,exact,295.36,Nc1nc(sc1C(=O)c1ccccc1)Nc1ccccc1,,,,mg,,,,,825740
350033304,Mehtap Isik,,71,exact,221.28,Cc1cc(C)c2c(n1)sc(c2N)C(=O)N,,,,mg,,,,,827004
350033304,Mehtap Isik,,72,exact,270.31,NC(=O)c1sc2c(c1N)ccc(n2)c1cccnc1,,,,mg,,,,,827068
350033304,Mehtap Isik,,73,exact,205.28,Nc1ncnc2c1c1CCCCc1s2,,,,mg,,,,,827097
350033304,Mehtap Isik,,74,exact,275.37,NC(=O)c1sc2c(c1N)cc1c(n2)CCCCCC1,,,,mg,,,,,827307
350033304,Mehtap Isik,,75,exact,305.76,Clc1ncnc2c1c(cn2c1ccccc1)c1ccccc1,,,,mg,,,,,831334
350033304,Mehtap Isik,,76,exact,235.26,COc1ccc(cc1)/C=C/1\SC(=O)NC1=O,,,,mg,,,,,832041
350033304,Mehtap Isik,,77,exact,205.23,O=C1NC(=O)S/C/1=C\c1ccccc1,,,,mg,,,,,832043
350033304,Mehtap Isik,,78,exact,321.39,COc1cc(ccc1OC)c1csc(c1C(=O)OC(C)C)N,,,,mg,,,,,837243
350033304,Mehtap Isik,,79,exact,287.32,Nc1ncnc2c1c(c1ccccc1)c(o2)c1ccccc1,,,,mg,,,,,840416
350033304,Mehtap Isik,,80,exact,218.27,NC(=O)c1cc(sc1N)c1ccccc1,,,,mg,,,,,859659
350033304,Mehtap Isik,,81,exact,217.22,Cc1ccccc1c1oc(c(n1)C(=O)N)N,,,,mg,,,,,859729
350033304,Mehtap Isik,,82,exact,446.9,COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,,,,mg,,,,,876432
350033304,Mehtap Isik,,83,exact,493.6,CN1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(c(c1)Nc1nccc(n1)c1cccnc1)C,,,,mg,,,,,876446
350033304,Mehtap Isik,,84,exact,238.31,CC(=O)Nc1sc2c(c1C(=O)N)CCCC2,,,,mg,,,,,878115
350033304,Mehtap Isik,,85,exact,354.18,OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,,,,mg,,,,,901322
350033304,Mehtap Isik,,86,exact,645.31,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2,,,,mg,,,,,901372
350033304,Mehtap Isik,,87,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,88,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,89,exact,381.37,Cc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F,,,,mg,,,,,901601
350033304,Mehtap Isik,,90,not found,0,,,,,mg,,,,,
350033304,Mehtap Isik,,91,exact,469.66,O=C(c1ccc(cc1)C(C)(C)C)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1,,,,mg,,,,,901816
