,can_iso_smiles,version_id,parent_id,isosmiles
0,c1ccc(cc1)c2nnc(o2)Nc3ccccc3,37308,37307,c1ccc(cc1)Nc1nnc(o1)c1ccccc1
1,c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O,478202,478201,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O
2,c1ccc2c(c1)cncn2,479644,479643,c1ccc2c(c1)ncnc2
3,C(=S)(N)N,484431,484430,NC(=S)N
4,COc1ccc2c(cc(=O)oc2c1)CC(=O)O,490595,490594,COc1ccc2c(c1)oc(=O)cc2CC(=O)O
5,c1cscc1C(=O)O,491595,491594,OC(=O)c1cscc1
6,c1ccc(cc1)c2cc(=O)c3c(cc(cc3o2)O)O,493608,493607,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1
7,c1c(c(c(c(c1Cl)Cl)Cc2c(c(cc(c2Cl)Cl)Cl)O)O)Cl,496659,496658,Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl
8,c1cc2c(cc(=O)oc2cc1O)CC(=O)O,498764,498763,OC(=O)Cc1cc(=O)oc2c1ccc(c2)O
9,c1c2c(cc(c1Cl)Cl)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,500423,500422,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1cc(Cl)c(c2)Cl
10,c1ccc2c(c1)CCC(=O)N2,506221,506220,O=C1CCc2c(N1)cccc2
11,COc1cc(c(cc1OC)Br)C(=O)O,508324,508323,COc1cc(C(=O)O)c(cc1OC)Br
12,c1c(cc(c(c1Sc2cc(cc(c2O)Cl)Cl)O)Cl)Cl,510833,510832,Clc1cc(Sc2cc(Cl)cc(c2O)Cl)c(c(c1)Cl)O
13,c1cc(ccc1c2c(c(=O)c3c(cc(cc3o2)O)O)O)O,524531,524530,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O
14,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O,532754,532753,Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O
15,COc1ccc(cc1OC)C[C@H]2COC(=O)[C@@H]2Cc3ccc(c(c3)OC)O,533902,533901,COc1cc(ccc1OC)C[C@H]1COC(=O)[C@@H]1Cc1ccc(c(c1)OC)O
16,COc1ccc(cc1)CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(cc5)F,534476,534475,COc1ccc(cc1)CCN1CCC(CC1)Nc1nc2c(n1Cc1ccc(cc1)F)cccc2
17,c1ccc2c(c1)c(c[nH]2)C3=C(C(=O)NC3=O)c4c[nH]c5c4cccc5,535093,535092,O=C1NC(=O)C(=C1c1c[nH]c2c1cccc2)c1c[nH]c2c1cccc2
18,CCc1c(c2ccccc2o1)C(=O)c3cc(c(c(c3)Br)O)Br,535243,535242,CCc1oc2c(c1C(=O)c1cc(Br)c(c(c1)Br)O)cccc2
19,CC(C)n1cnc2c1nc(nc2Nc3cccc(c3)Cl)NCCO,535922,535921,OCCNc1nc(Nc2cccc(c2)Cl)c2c(n1)n(cn2)C(C)C
20,c1cc(ccc1c2[nH]c3ccc(cc3n2)C(=O)N)Oc4ccc(cc4)Cl,536041,536040,Clc1ccc(cc1)Oc1ccc(cc1)c1nc2c([nH]1)ccc(c2)C(=O)N
21,c1ccc(cc1)Oc2ccc(cc2)c3cn(c4c3c(ncn4)N)C5CCCC5,536561,536560,Nc1ncnc2c1c(cn2C1CCCC1)c1ccc(cc1)Oc1ccccc1
22,c1cc2c(cc(c(c2nc1)O)I)I,536848,536847,Ic1cc(I)c2c(c1O)nccc2
23,c1ccc(cc1)Nc2cc3c(cc2Nc4ccccc4)C(=O)NC3=O,537301,537300,O=C1NC(=O)c2c1cc(Nc1ccccc1)c(c2)Nc1ccccc1
24,CN([C@@H](Cc1ccc(cc1)OS(=O)(=O)c2cccc3c2ccnc3)C(=O)N4CCN(CC4)c5ccccc5)S(=O)(=O)c6cccc7c6ccnc7,539584,539583,O=C([C@@H](N(S(=O)(=O)c1cccc2c1ccnc2)C)Cc1ccc(cc1)OS(=O)(=O)c1cccc2c1ccnc2)N1CCN(CC1)c1ccccc1
25,c1ccc2c(c1)-c3c(c4cc(ccc4[nH]3)Br)CC(=O)N2,539836,539835,O=C1Nc2ccccc2c2c(C1)c1cc(Br)ccc1[nH]2
26,c1ccc2c(c1)c(c(c(=O)o2)Cc3c(c4ccccc4oc3=O)O)O,591595,591594,O=c1oc2ccccc2c(c1Cc1c(=O)oc2c(c1O)cccc2)O
27,c1[nH]c2c(n1)c(nc(n2)N)OCC3CCCCC3,592699,592698,Nc1nc(OCC2CCCCC2)c2c(n1)[nH]cn2
28,C1CCC(CC1)COc2c(c(nc(n2)N)N)N=O,592707,592706,O=Nc1c(OCC2CCCCC2)nc(nc1N)N
29,Cn1cnc2c1nc(nc2NCc3ccccc3)NCCO,592965,592964,OCCNc1nc(NCc2ccccc2)c2c(n1)n(C)cn2
30,COc1cccc(c1N)c2cc(=O)c3ccccc3o2,593330,593329,COc1cccc(c1N)c1cc(=O)c2c(o1)cccc2
31,CC(C)[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)Nc3cccc(c3)Cl,593564,593563,OC[C@@H](C(C)C)Nc1nc(Nc2cccc(c2)Cl)c2c(n1)n(cn2)C(C)C
32,c1cc(ccc1Nc2nc3c(c(n2)NC4CCCCC4)nc[nH]3)N5CCOCC5,593995,593994,C1CCC(CC1)Nc1nc(Nc2ccc(cc2)N2CCOCC2)nc2c1nc[nH]2
