,eMolecules SKU,canonical isomeric SMILES,"pKas in [3,11]",XlogP
0,143204456,c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,[9.045],3.685000419616699
1,133190549,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CCN(CC4)CCO,"[6.069, 8.134]",3.2979989051818848
2,103864712,c1cc(cc(c1)Cl)Nc2c3c([nH]cn3)nc(n2)N,[4.231],1.3950004577636719
3,153698825,c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,[9.045],3.685000419616699
4,138902653,c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,[9.045],3.685000419616699
5,177271519,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CCN(CC4)CCO,"[6.069, 8.134]",3.2979989051818848
