,eMolecules ID,predicted pKas,"pKas in [3,11]","pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES,eMolecules SMILES
0,7616001,"[-2.982, 0.414, 3.454, 10.685, 13.943]","[3.454, 10.685]",2.0,False,c1cc2c(c(sc2nc1)C(=O)N)N,NC(=O)c1sc2c(c1N)cccn2
1,1260546,[-0.831],[],0.0,False,Cc1ccccc1C(=O)N2CCC(CC2)Cc3ccccc3,Cc1ccccc1C(=O)N1CCC(CC1)Cc1ccccc1
2,1178116,"[-1.464, 0.334, 0.438, 12.397, 14.553]",[],0.0,False,c1cc2c(cc1C(=O)Nc3c(c4c(s3)CCCC4)C(=O)N)OCO2,O=C(c1ccc2c(c1)OCO2)Nc1sc2c(c1C(=O)N)CCCC2
3,1570822,"[0.636, 3.95, 11.576]",[3.95],1.0,False,c1cc2cccnc2c(c1)NC(=O)c3ccc(cc3)Cl,Clc1ccc(cc1)C(=O)Nc1cccc2c1nccc2
4,44750813,"[0.435, 3.718, 6.011, 13.583]","[3.718, 6.011]",2.0,False,Cc1cnc(s1)Nc2ccccn2,Cc1cnc(s1)Nc1ccccn1
5,859659,"[-1.464, 1.397, 9.967, 14.623]",[9.967],1.0,False,c1ccc(cc1)c2cc(c(s2)N)C(=O)N,NC(=O)c1cc(sc1N)c1ccccc1
6,1155596,"[5.1, 13.807]",[5.1],1.0,False,COc1ccc(cc1)NC(=O)/C=C/c2ccccc2,COc1ccc(cc1)NC(=O)/C=C/c1ccccc1
7,4038159,"[-1.464, 0.867, 4.663, 13.619, 14.227]",[4.663],1.0,False,Cc1ccc(cc1C)c2csc(c2C(=O)N)NC(=O)CCCC(=O)O,OC(=O)CCCC(=O)Nc1scc(c1C(=O)N)c1ccc(c(c1)C)C
8,1067536,"[-0.68, 2.104, 14.282]",[],0.0,False,c1ccc2c(c1)C(=O)N(C2=O)CNc3ccc(cc3)N4CCOCC4,O=C1N(CNc2ccc(cc2)N2CCOCC2)C(=O)c2c1cccc2
9,2259473,"[-0.417, -0.375, 6.525]",[6.525],1.0,False,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Cl,Fc1cccc(c1)CSc1nnc(s1)NC(=O)c1ccccc1Cl
10,6766101,"[-0.417, -0.375, 7.202]",[7.202],1.0,False,c1ccc(cc1)CSc2nnc(s2)NC(=O)c3ccc(cc3)F,Fc1ccc(cc1)C(=O)Nc1nnc(s1)SCc1ccccc1
11,4541974,"[-2.469, 1.009, 2.508, 10.208, 15.706]",[10.208],1.0,False,Cn1c2c(c(=O)[nH]c1=O)n3cc(n(c3n2)CCCCO)c4ccccc4,OCCCCn1c(cn2c1nc1c2c(=O)[nH]c(=O)n1C)c1ccccc1
12,31653344,"[0.278, 6.348, 15.31]",[6.348],1.0,False,c1ccc(cc1)n2cnc3c2ccc(c3)N,Nc1ccc2c(c1)ncn2c1ccccc1
13,5784088,"[2.1, 4.394, 13.772]",[4.394],1.0,False,c1cc(ccc1c2nnc3n2nc(cc3)NC4CC4)C(F)(F)F,FC(c1ccc(cc1)c1nnc2n1nc(cc2)NC1CC1)(F)F
14,1421743,"[0.15, 2.037, 9.167]",[9.167],1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)OC,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(cc1)OC
15,5616156,[4.902],[4.902],1.0,False,c1cc(cc(c1)F)CSc2nnc(o2)c3ccncc3,Fc1cccc(c1)CSc1nnc(o1)c1ccncc1
16,1782302,"[0.15, 2.037, 9.167]",[9.167],1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)Cl,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(cc1)Cl
17,5639199,"[4.05, 13.051]",[4.05],1.0,False,c1ccc(cc1)Nc2c3ccccc3ncn2.Cl,c1ccc(cc1)Nc1ncnc2c1cccc2.Cl
18,878115,"[-1.464, -1.34, 13.469, 14.549]",[],0.0,False,CC(=O)Nc1c(c2c(s1)CCCC2)C(=O)N,CC(=O)Nc1sc2c(c1C(=O)N)CCCC2
19,3513384,"[-1.032, -0.943, -0.719, 0.768, 8.46, 12.58]",[8.46],1.0,False,c1ccc(c(c1)c2c(=O)[nH]c3ccccc3n2)NC(=O)c4ccc(cc4)F,Fc1ccc(cc1)C(=O)Nc1ccccc1c1nc2ccccc2[nH]c1=O
20,832041,[8.112],[8.112],1.0,False,COc1ccc(cc1)/C=C\2/C(=O)NC(=O)S2,COc1ccc(cc1)/C=C/1\SC(=O)NC1=O
21,1532460,"[-0.029, 0.003, 5.184, 8.99, 16.674]","[5.184, 8.99]",2.0,False,Cc1ccc2c(c1)oc(n2)c3cc(cc(c3O)C)N,Nc1cc(C)c(c(c1)c1oc2c(n1)ccc(c2)C)O
