,eMolecules ID,canonical isomeric SMILES,eMolecules SMILES,"pKas in [3,11]",XlogP
0,7616001,c1cc2c(c(sc2nc1)C(=O)N)N,NC(=O)c1sc2c(c1N)cccn2,"[3.454, 10.685]",0.25700002908706665
1,1570822,c1cc2cccnc2c(c1)NC(=O)c3ccc(cc3)Cl,Clc1ccc(cc1)C(=O)Nc1cccc2c1nccc2,[3.95],3.5879998207092285
2,44750813,Cc1cnc(s1)Nc2ccccn2,Cc1cnc(s1)Nc1ccccn1,"[3.718, 6.011]",1.4719998836517334
3,859659,c1ccc(cc1)c2cc(c(s2)N)C(=O)N,NC(=O)c1cc(sc1N)c1ccccc1,[9.967],2.1570000648498535
4,1155596,COc1ccc(cc1)NC(=O)/C=C/c2ccccc2,COc1ccc(cc1)NC(=O)/C=C/c1ccccc1,[5.1],3.4800002574920654
5,4038159,Cc1ccc(cc1C)c2csc(c2C(=O)N)NC(=O)CCCC(=O)O,OC(=O)CCCC(=O)Nc1scc(c1C(=O)N)c1ccc(c(c1)C)C,[4.663],2.314000129699707
6,2259473,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Cl,Fc1cccc(c1)CSc1nnc(s1)NC(=O)c1ccccc1Cl,[6.525],5.237000465393066
7,6766101,c1ccc(cc1)CSc2nnc(s2)NC(=O)c3ccc(cc3)F,Fc1ccc(cc1)C(=O)Nc1nnc(s1)SCc1ccccc1,[7.202],4.621000289916992
8,4541974,Cn1c2c(c(=O)[nH]c1=O)n3cc(n(c3n2)CCCCO)c4ccccc4,OCCCCn1c(cn2c1nc1c2c(=O)[nH]c(=O)n1C)c1ccccc1,[10.208],1.2639998197555542
9,31653344,c1ccc(cc1)n2cnc3c2ccc(c3)N,Nc1ccc2c(c1)ncn2c1ccccc1,[6.348],2.3329999446868896
10,5784088,c1cc(ccc1c2nnc3n2nc(cc3)NC4CC4)C(F)(F)F,FC(c1ccc(cc1)c1nnc2n1nc(cc2)NC1CC1)(F)F,[4.394],4.128999710083008
11,1421743,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)OC,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(cc1)OC,[9.167],3.7950000762939453
12,5616156,c1cc(cc(c1)F)CSc2nnc(o2)c3ccncc3,Fc1cccc(c1)CSc1nnc(o1)c1ccncc1,[4.902],3.440999746322632
13,1782302,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)Cl,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(cc1)Cl,[9.167],4.555000305175781
14,5639199,c1ccc(cc1)Nc2c3ccccc3ncn2.Cl,c1ccc(cc1)Nc1ncnc2c1cccc2.Cl,[4.05],3.2830004692077637
15,3513384,c1ccc(c(c1)c2c(=O)[nH]c3ccccc3n2)NC(=O)c4ccc(cc4)F,Fc1ccc(cc1)C(=O)Nc1ccccc1c1nc2ccccc2[nH]c1=O,[8.46],4.201000213623047
16,832041,COc1ccc(cc1)/C=C\2/C(=O)NC(=O)S2,COc1ccc(cc1)/C=C/1\SC(=O)NC1=O,[8.112],2.315999984741211
17,1532460,Cc1ccc2c(c1)oc(n2)c3cc(cc(c3O)C)N,Nc1cc(C)c(c(c1)c1oc2c(n1)ccc(c2)C)O,"[5.184, 8.99]",2.880000114440918
18,27013168,CSc1ccc(cc1)/C=C/2\C(=O)NC(=O)N2,CSc1ccc(cc1)/C=C\1/NC(=O)NC1=O,[8.74],1.8569998741149902
19,1267281,CCOc1ccc(cc1)Nc2c(cnc(n2)Nc3ccc(cc3)OCC)F,CCOc1ccc(cc1)Nc1ncc(c(n1)Nc1ccc(cc1)OCC)F,[3.892],3.051999807357788
20,3044617,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3ccc(cc3)F)Cl,Fc1ccc(cc1)CSc1nnc(s1)NC(=O)c1ccccc1Cl,[6.525],5.237000465393066
21,10748986,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl,OCCN1CCN(CC1)c1cc(nc(n1)C)Nc1ncc(s1)C(=O)Nc1c(C)cccc1Cl,"[6.992, 8.185]",1.8869997262954712
23,1415746,COc1ccc(cc1)c2c3c(ncnc3oc2c4ccc(cc4)OC)NCCO,OCCNc1ncnc2c1c(c1ccc(cc1)OC)c(o2)c1ccc(cc1)OC,[4.829],2.7940003871917725
24,8687115,c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3,Clc1cccc(c1)CSc1nnc(o1)c1ccncc1,[4.902],3.92199969291687
25,1242692,Cn1c2c(c(=O)[nH]c1=O)n(c(n2)S)Cc3ccc(cc3)Cl,Clc1ccc(cc1)Cn1c(S)nc2c1c(=O)[nH]c(=O)n2C,"[5.556, 10.973]",2.2929999828338623
26,2720837,c1ccc2c(c1)cc(c(n2)N)C(=O)N,NC(=O)c1cc2ccccc2nc1N,[4.03],1.0870000123977661
27,491595,c1cscc1C(=O)O,OC(=O)c1cscc1,[4.913],0.6669999957084656
28,498764,c1cc2c(cc(=O)oc2cc1O)CC(=O)O,OC(=O)Cc1cc(=O)oc2c1ccc(c2)O,"[3.62, 8.794]",-0.07300001382827759
29,5428814,c1cc(cc(c1)F)CSc2nnc(s2)NC(=O)c3ccc(cc3)Cl,Clc1ccc(cc1)C(=O)Nc1nnc(s1)SCc1cccc(c1)F,[6.888],5.236999988555908
30,3365457,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(c(c3)Cl)Cl,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(c(c1)Cl)Cl,[9.167],5.1710004806518555
31,1284691,c1cc(c(c(c1)Cl)C(=O)Nc2ccncc2)Cl,O=C(c1c(Cl)cccc1Cl)Nc1ccncc1,"[4.714, 9.847]",2.927000045776367
32,2069689,c1cc(cc(c1)F)/C=C/2\C(=O)NC(=O)S2,O=C1NC(=O)/C(=C\c2cccc(c2)F)/S1,[8.015],2.5949997901916504
33,5428828,c1cc(cc(c1)F)CSc2nnc(s2)NC(=O)c3ccc(cc3)F,Fc1ccc(cc1)C(=O)Nc1nnc(s1)SCc1cccc(c1)F,[7.202],4.75600004196167
34,1367649,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)O)c3ccccc3,OC(=O)Cc1c(=O)[nH]c2c(c1c1ccccc1)cc(cc2)C,[4.109],2.8030002117156982
35,490595,COc1ccc2c(cc(=O)oc2c1)CC(=O)O,COc1ccc2c(c1)oc(=O)cc2CC(=O)O,[3.621],0.6690000891685486
36,46568548,c1ccc(c(c1)/C=C\2/c3ccccc3NC2=O)O,Oc1ccccc1/C=C/1\C(=O)Nc2c1cccc2,"[3.158, 7.89]",2.2700002193450928
37,1934441,c1cscc1c2cc(c(s2)C(=O)N)N,NC(=O)c1sc(cc1N)c1cscc1,"[4.474, 10.895]",1.4209998846054077
38,2183015,c1cc(ccc1CSc2nnc(s2)NC(=O)c3ccc(cc3)Cl)Br,Clc1ccc(cc1)C(=O)Nc1nnc(s1)SCc1ccc(cc1)Br,[6.888],5.899999618530273
39,5432942,c1ccc(cc1)CSc2nnc(s2)NC(=O)c3ccccc3Cl,O=C(c1ccccc1Cl)Nc1nnc(s1)SCc1ccccc1,[6.36],5.1020002365112305
40,8765039,c1ccc(cc1)n2cnc3c2ccc(c3)C(=O)O,OC(=O)c1ccc2c(c1)ncn2c1ccccc1,"[3.213, 5.772]",2.1110000610351562
41,5758581,Cc1ccc(cn1)c2c(cc(cn2)Cl)c3ccc(cc3)S(=O)(=O)C,Clc1cnc(c(c1)c1ccc(cc1)S(=O)(=O)C)c1ccc(nc1)C,[4.15],3.2059998512268066
42,13419113,c1ccc(cc1)NC(=O)c2c3ccccc3[nH]n2,O=C(c1n[nH]c2c1cccc2)Nc1ccccc1,[8.398],2.6429998874664307
43,3374919,c1ccc(cc1)Oc2ccc(cc2)C(=O)NCc3ccncc3,O=C(c1ccc(cc1)Oc1ccccc1)NCc1ccncc1,[5.124],3.241000175476074
44,827004,Cc1cc(nc2c1c(c(s2)C(=O)N)N)C,Cc1cc(C)c2c(n1)sc(c2N)C(=O)N,"[4.423, 10.789]",0.7890000343322754
45,1852544,c1cc(oc1)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,O=C(c1ccco1)Nc1sc2c(c1C(=O)N)CCCC2,[10.893],1.819000005722046
46,1415762,c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)NCCO,OCCNc1ncnc2c1c(c1ccccc1)c(o2)c1ccccc1,[4.294],3.0820000171661377
47,1990422,COc1ccc(cc1)c2c3c(ncnc3oc2c4ccc(cc4)OC)N,COc1ccc(cc1)c1oc2c(c1c1ccc(cc1)OC)c(N)ncn2,[4.245],3.2940003871917725
48,46518204,COc1cccc(c1)/C=C\2/C(=O)NC(=O)S2,COc1cccc(c1)/C=C/1\SC(=O)NC1=O,[8.05],2.315999984741211
49,4424334,c1ccc2c(c1)c(nnc2Nc3ccc(c(c3)Cl)Cl)c4ccc(cc4)C(=O)N,NC(=O)c1ccc(cc1)c1nnc(c2c1cccc2)Nc1ccc(c(c1)Cl)Cl,[5.578],4.270000457763672
50,718480,c1cc(c(cc1NC(=O)c2cc(cc(c2O)Cl)Cl)Cl)Cl,Clc1cc(Cl)c(c(c1)C(=O)Nc1ccc(c(c1)Cl)Cl)O,[4.538],5.140000343322754
51,17664146,CN1CCN(CC1)c2c(cccc2Cl)NC(=O)c3ccc(o3)Br,CN1CCN(CC1)c1c(cccc1Cl)NC(=O)c1ccc(o1)Br,[7.773],3.1090002059936523
52,6458515,Cc1cccc(c1)Cc2cnc(s2)NC(=O)c3cccs3,Cc1cccc(c1)Cc1cnc(s1)NC(=O)c1cccs1,[9.839],3.9170005321502686
53,49863829,c1ccc(cc1)Oc2ccc(cc2)c3c4c(ncnc4[nH]n3)N,Nc1ncnc2c1c(n[nH]2)c1ccc(cc1)Oc1ccccc1,"[3.904, 9.842]",3.001999616622925
54,2253464,c1cc(c(cc1Cl)C(=O)Nc2ccncc2)Cl,Clc1ccc(c(c1)C(=O)Nc1ccncc1)Cl,"[4.714, 10.167]",2.927000045776367
55,32176495,Cc1ccc(cc1)S(=O)(=O)O.Cc1ccc(cc1)S(=O)(=O)O.CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F,Fc1cccc(c1)COc1ccc(cc1Cl)Nc1ncnc2c1cc(cc2)c1ccc(o1)CNCCS(=O)(=O)C.Cc1ccc(cc1)S(=O)(=O)O.Cc1ccc(cc1)S(=O)(=O)O,"[3.928, 8.582]",5.7210001945495605
56,35679514,c1cc(ccc1CSc2nnc(s2)NC(=O)c3ccc(cc3)Cl)F,Fc1ccc(cc1)CSc1nnc(s1)NC(=O)c1ccc(cc1)Cl,[6.888],5.236999988555908
57,25876127,c1cc(cc(c1)C(F)(F)F)/C=C/2\C(=O)NC(=O)S2,O=C1NC(=O)/C(=C\c2cccc(c2)C(F)(F)F)/S1,[8.073],3.364999532699585
58,8332960,c1ccc2c(c1)nc(n2CC3CC3)c4c(non4)N,Nc1nonc1c1nc2c(n1CC1CC1)cccc2,[4.082],2.43999981880188
59,45791907,CCCOc1ccc(cc1)/C=C\2/C(=O)NC(=O)S2,CCCOc1ccc(cc1)/C=C/1\SC(=O)NC1=O,[8.112],3.2080001831054688
60,45490344,c1ccc(cc1)C(=O)Nc2ccncc2,O=C(c1ccccc1)Nc1ccncc1,[4.714],1.6949999332427979
