,eMolecules ID,canonical isomeric SMILES,eMolecules SMILES,"pKas in [3,11]",XlogP,MolWt,Availability (mg),Price,group,N_Rot,N_UV_chrom,Selection,Bin index,Priority,Final list
15,18893169,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,Brc1cncc(c1)C(=O)Nc1cccc2c1nccc2,"[4.001, 10.328]",2.922999620437622,328.163,406.0,148.0,fragment-like,3,37,picked,15,1,True
16,1865544,COc1cccc(c1)Nc2c3ccccc3ncn2.Cl,COc1cccc(c1)Nc1ncnc2c1cccc2.Cl,[4.05],3.1389999389648438,287.744,119.7,148.0,fragment-like,3,36,picked,16,1,True
17,12272961,COc1cccc(c1)CC(=O)Nc2nc3ccc(cc3s2)OC,COc1cccc(c1)CC(=O)Nc1nc2c(s1)cc(cc2)OC,[9.2],3.397000312805176,328.38599999999997,436.5,148.0,fragment-like,6,28,picked,17,1,True
18,1228629,c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3,O=C(c1cccs1)Nc1nnc(s1)Cc1ccccc1,[7.12],3.6050002574920654,301.387,379.0,148.0,fragment-like,5,14,picked,18,1,True
19,18908671,c1ccc(c(c1)NC(=O)c2ccc(o2)Cl)N3CCCCC3,Clc1ccc(o1)C(=O)Nc1ccccc1N1CCCCC1,[5.346],3.794999837875366,304.77099999999996,424.3,148.0,fragment-like,4,18,picked,19,1,True
20,25775231,c1cc(c(cc1c2ccc(o2)/C=C/3\C(=O)NC(=O)S3)Cl)F,O=C1S/C(=C/c2ccc(o2)c2ccc(c(c2)Cl)F)/C(=O)N1,[8.052],3.9079997539520264,323.72700000000003,125.0,168.0,fragment-like,2,31,picked,20,1,True
21,2393398,COc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)Cl,COc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(cc1)Cl,[9.2],4.1570000648498535,332.805,427.0,168.0,fragment-like,5,28,picked,21,1,True
22,25775229,c1cc(c(cc1Cl)Cl)c2ccc(o2)/C=C/3\C(=O)NC(=O)S3,O=C1S/C(=C/c2ccc(o2)c2ccc(cc2Cl)Cl)/C(=O)N1,[8.052],4.389000415802002,340.181,647.0,168.0,fragment-like,2,31,picked,22,1,True
23,703997,CCOC(=O)c1c(c2cc(ccc2[nH]c1=O)Cl)c3ccccc3,CCOC(=O)c1c(=O)[nH]c2c(c1c1ccccc1)cc(cc2)Cl,[8.549],4.517000198364258,327.76199999999994,1059.0,168.0,fragment-like,4,59,picked,23,1,True
24,688047,c1ccc(cc1)c2csc3c2c(ncn3)N4CCc5ccccc5C4,c1ccc(cc1)c1csc2c1c(ncn2)N1CCc2c(C1)cccc2,[3.271],4.785000324249268,343.445,142.0,533.0,fragment-like,2,50,picked,24,1,True
