,eMolecules ID,canonical isomeric SMILES,eMolecules SMILES,"pKas in [3,11]",XlogP,MolWt,Availability (mg),Price,group,N_Rot,N_UV_chrom,Selection,Bin index,Priority,Final list
0,7616001,c1cc2c(c(sc2nc1)C(=O)N)N,NC(=O)c1sc2c(c1N)cccn2,"[3.454, 10.685]",0.25700002908706665,193.226,970.0,168.0,fragment-like,1,15,picked,1,1,True
1,490595,COc1ccc2c(cc(=O)oc2c1)CC(=O)O,COc1ccc2c(c1)oc(=O)cc2CC(=O)O,[3.621],0.6690000891685486,234.205,3439.8,223.0,fragment-like,3,29,picked,3,1,True
2,532754,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O,Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O,"[8.584, 9.84, 10.869]",0.887000322341919,270.237,1015.0,168.0,fragment-like,1,56,picked,4,1,True
3,827004,Cc1cc(nc2c1c(c(s2)C(=O)N)N)C,Cc1cc(C)c2c(n1)sc(c2N)C(=O)N,"[4.423, 10.789]",0.7890000343322754,221.27900000000002,1070.0,168.0,fragment-like,1,15,picked,4,2,True
4,2867544,c1nc(c2c3c(sc2n1)CCC3)N,Nc1ncnc2c1c1CCCc1s2,[4.048],1.0429999828338623,191.253,1026.0,168.0,fragment-like,0,10,picked,5,1,True
5,1457396,c1cc(cc(c1)Nc2nc(cs2)c3ccc(cc3O)O)C(=O)O,Oc1ccc(c(c1)O)c1csc(n1)Nc1cccc(c1)C(=O)O,"[4.157, 9.093]",1.421000361442566,328.342,177.0,168.0,fragment-like,4,36,picked,7,1,True
6,44750813,Cc1cnc(s1)Nc2ccccn2,Cc1cnc(s1)Nc1ccccn1,"[3.718, 6.011]",1.4719998836517334,191.253,1015.0,168.0,fragment-like,2,9,picked,7,2,True
7,827097,c1nc(c2c3c(sc2n1)CCCC3)N,Nc1ncnc2c1c1CCCCc1s2,[4.062],1.537000060081482,205.27900000000002,3114.0,275.0,fragment-like,0,10,picked,8,1,True
8,719540,c1ccc(cc1)n2c3c(cn2)c(ncn3)N,Nc1ncnc2c1cnn2c1ccccc1,[3.869],1.4990001916885376,211.22299999999998,3430.0,414.0,fragment-like,1,31,picked,8,2,True
9,493608,c1ccc(cc1)c2cc(=O)c3c(cc(cc3o2)O)O,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1,"[8.416, 10.823]",1.7130001783370972,254.238,1056.0,168.0,fragment-like,1,54,picked,9,1,True
10,1339083,c1nc(c2c3c(sc2n1)CCCCC3)N,Nc1ncnc2c1c1CCCCCc1s2,[4.064],2.0309998989105225,219.30599999999998,4273.0,414.0,fragment-like,0,10,picked,10,1,True
11,37095168,c1ccc2c(c1)ncn2c3ccc(cc3)O,Oc1ccc(cc1)n1cnc2c1cccc2,"[5.82, 8.709]",2.2190003395080566,210.231,21650.2,148.0,fragment-like,1,40,picked,11,1,True
12,31653344,c1ccc(cc1)n2cnc3c2ccc(c3)N,Nc1ccc2c(c1)ncn2c1ccccc1,[6.348],2.3329999446868896,209.247,50213.0,148.0,fragment-like,1,40,picked,12,1,True
13,13419113,c1ccc(cc1)NC(=O)c2c3ccccc3[nH]n2,O=C(c1n[nH]c2c1cccc2)Nc1ccccc1,[8.398],2.6429998874664307,237.257,762.8,223.0,fragment-like,3,36,picked,13,1,True
14,23354217,c1ccc(cc1)C(=O)NCC(=O)Nc2nc3ccccc3s2,O=C(Nc1nc2c(s1)cccc2)CNC(=O)c1ccccc1,[8.672],2.7179999351501465,311.358,149.1,148.0,fragment-like,6,28,picked,14,1,True
